BBA_ID,Lat1,Lon1,Forest1,Elev1,Lat2,Lon2,Forest2,Elev2,Lat3,Lon3,Forest3,Elev3,Lat4,Lon4,Forest4,Elev4
94B32,39.85416667,-75.90625,0.98860917,178.7635975,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B31,39.85416667,-75.96875,0.23424385,159.8451281,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A32,39.97916667,-75.90625,0.794695714,181.8501565,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A31,39.97916667,-75.96875,0.608280472,203.3786659,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A35,39.89583333,-75.96875,0.87203906,136.4320097,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A36,39.89583333,-75.90625,0.864785335,NA,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B46,39.77083333,-75.78125,0.822381562,NA,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B45,39.77083333,-75.84375,0.214641458,112.2684021,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B33,39.8125,-75.96875,0.376475159,161.3050671,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B34,39.8125,-75.90625,0.879615846,149.1607475,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B36,39.77083333,-75.90625,0.855986509,126.0679321,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B35,39.77083333,-75.96875,0.404066382,158.6845512,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94B43,39.8125,-75.84375,0.773183441,132.2386637,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B44,39.8125,-75.78125,0.701584057,106.1357241,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B53,39.8125,-75.71875,0.241828216,77.01293945,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
