Cell,BBA_ID,eLists,eHours,eKM,eHA,eNumObs,eCount
1486,42B33,0,0,0,0,0,0
1487,53B54,0,0,0,0,0,0
1488,42B34,0,0,0,0,0,0
1489,53B53,0,0,0,0,0,0
1490,42B43,0,0,0,0,0,0
1491,53B44,0,0,0,0,0,0
1492,43B44,0,0,0,0,0,0
1493,52B43,0,0,0,0,0,0
1494,43B53,1,1,4.828,0,1,0
1495,52B34,0,0,0,0,0,0
1496,43B54,0,0,0,0,0,0
1497,52B33,0,0,0,0,0,0
1498,43B63,7,0.7,0,0,7,0
1499,52B24,0,0,0,0,0,0
1500,43B64,2,2,14.484,0,2,0
1501,52B23,0,0,0,0,0,0
1502,43B73,4,8.25,35.727,0,6,0
1503,52B14,0,0,0,0,0,0
1504,43B74,0,0,0,0,0,0
1505,52B13,0,0,0,0,0,0
1506,44B13,16,2.5,3.219,0,16,0
1507,51B74,4,7,13.68,0,4,7
1508,44B14,0,0,0,0,0,0
1509,51B73,0,0,0,0,0,0
1510,44B23,0,0,0,0,0,0
1511,51B64,0,0,0,0,0,0
1512,44B24,0,0,0,0,0,0
1513,51B63,0,0,0,0,0,0
1514,44B33,0,0,0,0,0,0
1515,51B54,0,0,0,0,0,0
1516,44B34,1,2,16.093,0,1,0
1517,51B53,0,0,0,0,0,0
1518,44B43,0,0,0,0,0,0
1519,51B44,0,0,0,0,0,0
1520,45B44,0,0,0,0,0,0
1521,50B43,0,0,0,0,0,0
1522,45B53,4,8.58,16.093,0,5,1
1523,50B34,0,0,0,0,0,0
1524,45B54,1,1.5,8.047,0,1,1
1525,50B33,0,0,0,0,0,0
1526,45B63,2,9,14.484,0,3,8
1527,50B24,0,0,0,0,0,0
1528,45B64,0,0,0,0,0,0
1529,50B23,0,0,0,0,0,0
1530,45B73,0,0,0,0,0,0
1531,50B14,0,0,0,0,0,0
1532,45B74,0,0,0,0,0,0
1533,50B13,0,0,0,0,0,0
1534,46B13,0,0,0,0,0,0
1535,49B74,0,0,0,0,0,0
1536,46B14,0,0,0,0,0,0
