"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"184",-76.84375,39.72916667,184,184,53,4,2
"185",-76.90625,39.72916667,185,185,52,4,2
"186",-77.09375,39.97916667,186,186,54,5,3
"187",-77.09375,39.72916667,187,187,55,5,3
"188",-77.03125,39.72916667,188,188,55,5,3
"189",-77.15625,39.72916667,189,189,56,5,3
"190",-77.21875,39.72916667,190,190,56,5,3
"191",-77.03125,39.8125,191,191,57,5,3
"192",-77.09375,39.8125,192,192,57,5,3
"193",-77.09375,39.77083333,193,193,57,5,3
"194",-77.03125,39.77083333,194,194,57,5,3
"195",-77.21875,39.8125,195,195,58,5,3
"196",-77.21875,39.77083333,196,196,58,5,3
"197",-77.15625,39.77083333,197,197,58,5,3
"198",-77.15625,39.8125,198,198,58,5,3
"199",-77.28125,39.72916667,199,199,59,5,3
"200",-77.34375,39.72916667,200,200,59,5,3
"201",-77.40625,39.72916667,201,201,60,5,3
"202",-77.46875,39.72916667,202,202,60,5,3
"203",-77.40625,39.8125,203,203,61,5,3
"204",-77.34375,39.8125,204,204,62,5,3
"205",-77.34375,39.77083333,205,205,62,5,3
"206",-77.28125,39.77083333,206,206,62,5,3
"207",-77.28125,39.8125,207,207,62,5,3
"208",-77.46875,39.8125,208,208,61,5,3
"209",-77.40625,39.77083333,209,209,61,5,3
"210",-77.46875,39.77083333,210,210,61,5,3
"211",-77.21875,39.85416667,211,211,63,5,3
"212",-77.28125,39.97916667,212,212,64,5,3
"213",-77.34375,39.9375,213,213,64,5,3
"214",-77.28125,39.9375,214,214,64,5,3
"215",-77.46875,39.9375,215,215,65,5,3
"216",-77.40625,39.97916667,216,216,65,5,3
"217",-77.40625,39.9375,217,217,65,5,3
"218",-77.46875,39.97916667,218,218,65,5,3
"219",-77.34375,39.97916667,219,219,64,5,3
"220",-77.28125,39.85416667,220,220,66,5,3
"221",-77.34375,39.85416667,221,221,66,5,3
"222",-77.46875,39.89583333,222,222,67,5,3
"223",-77.34375,39.89583333,223,223,66,5,3
"224",-77.40625,39.85416667,224,224,67,5,3
"225",-77.40625,39.89583333,225,225,67,5,3
"226",-77.28125,39.89583333,226,226,66,5,3
"227",-77.46875,39.85416667,227,227,67,5,3
"228",-77.15625,39.9375,228,228,68,5,3
"229",-77.03125,39.97916667,229,229,54,5,3
"230",-77.09375,39.89583333,230,230,69,5,3
"231",-77.09375,39.85416667,231,231,69,5,3
"232",-77.03125,39.85416667,232,232,69,5,3
"233",-77.03125,39.89583333,233,233,69,5,3
"234",-77.15625,39.89583333,234,234,63,5,3
"235",-77.15625,39.85416667,235,235,63,5,3
"236",-77.21875,39.97916667,236,236,68,5,3
"237",-77.03125,39.9375,237,237,54,5,3
"238",-77.21875,39.9375,238,238,68,5,3
"239",-77.15625,39.97916667,239,239,68,5,3
"240",-77.09375,39.9375,240,240,54,5,3
"241",-77.21875,39.89583333,241,241,63,5,3
"242",-77.90625,39.72916667,242,242,70,6,3
"243",-77.96875,39.8125,243,243,71,6,3
"244",-77.84375,39.8125,244,244,72,6,3
"245",-77.78125,39.8125,245,245,72,6,3
"246",-77.96875,39.77083333,246,246,71,6,3
"247",-77.90625,39.77083333,247,247,71,6,3
"248",-77.59375,39.89583333,248,248,73,6,3
"249",-77.65625,39.85416667,249,249,74,6,3
"250",-77.90625,39.8125,250,250,71,6,3
"251",-77.59375,39.72916667,251,251,75,6,3
"252",-77.53125,39.8125,252,252,76,6,3
"253",-77.59375,39.8125,253,253,76,6,3
"254",-77.53125,39.77083333,254,254,76,6,3
"255",-77.59375,39.77083333,255,255,76,6,3
"256",-77.65625,39.77083333,256,256,77,6,3
"257",-77.71875,39.8125,257,257,77,6,3
"258",-77.71875,39.77083333,258,258,77,6,3
"259",-77.65625,39.8125,259,259,77,6,3
"260",-77.71875,39.72916667,260,260,78,6,3
"261",-77.53125,39.72916667,261,261,75,6,3
"262",-77.65625,39.72916667,262,262,78,6,3
"263",-77.84375,39.77083333,263,263,72,6,3
"264",-77.78125,39.77083333,264,264,72,6,3
"265",-77.78125,39.72916667,265,265,79,6,3
"266",-77.84375,39.72916667,266,266,79,6,3
"267",-77.96875,39.72916667,267,267,70,6,3
"268",-77.53125,39.97916667,268,268,80,6,3
"269",-77.59375,39.97916667,269,269,80,6,3
"270",-77.53125,39.9375,270,270,80,6,3
"271",-77.59375,39.9375,271,271,80,6,3
"272",-77.53125,39.85416667,272,272,73,6,3
"273",-77.53125,39.89583333,273,273,73,6,3
"274",-77.59375,39.85416667,274,274,73,6,3
"275",-77.90625,39.85416667,275,275,81,6,3
"276",-77.90625,39.89583333,276,276,81,6,3
"277",-77.71875,39.85416667,277,277,74,6,3
"278",-77.65625,39.89583333,278,278,74,6,3
"279",-77.71875,39.89583333,279,279,74,6,3
"280",-77.71875,39.97916667,280,280,82,6,3
"281",-77.65625,39.97916667,281,281,82,6,3
"282",-77.65625,39.9375,282,282,82,6,3
"283",-77.71875,39.9375,283,283,82,6,3
"284",-77.78125,39.89583333,284,284,83,6,3
"285",-77.84375,39.89583333,285,285,83,6,3
"286",-77.78125,39.85416667,286,286,83,6,3
"287",-77.84375,39.85416667,287,287,83,6,3
"288",-77.84375,39.97916667,288,288,84,6,3
"289",-77.84375,39.9375,289,289,84,6,3
"290",-77.96875,39.89583333,290,290,81,6,3
"291",-77.96875,39.85416667,291,291,81,6,3
"292",-77.90625,39.9375,292,292,85,6,3
"293",-77.96875,39.9375,293,293,85,6,3
"294",-77.78125,39.9375,294,294,84,6,3
"295",-77.78125,39.97916667,295,295,84,6,3
"296",-77.96875,39.97916667,296,296,85,6,3
"297",-77.90625,39.97916667,297,297,85,6,3
"298",-78.03125,39.72916667,298,298,86,7,4
"299",-78.09375,39.72916667,299,299,86,7,4
"300",-78.03125,39.89583333,300,300,87,7,4
"301",-78.09375,39.9375,301,301,88,7,4
"302",-78.09375,39.97916667,302,302,88,7,4
