"","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours","total.eNumObs","total.eCount"
"30","94B13",39.8125,-76.21875,0.324360433,145.5345936,39.79166667,-76.1875,0.48301436,125.7030999,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,30,30,4715,0,0,0,0,0,0,1,1.835,2.5,0
"31","94C22",39.72916667,-76.03125,0.380065454,NA,39.70833333,-76.0625,0.520985923,NA,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,31,31,4864,5,6.75,14.322,0,5,0,4,6.165,6.5,0
"32","94C12",39.72916667,-76.15625,0.224842085,NA,39.70833333,-76.1875,0.440773478,NA,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,32,32,4868,2,1.17,2.817,0,2,0,1,0.585,1,0
"33","93B65",39.77083333,-76.46875,0.499220339,210.6439492,39.79166667,-76.4375,0.384136111,176.130032,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,33,33,4801,5,0.5,0,0,5,0,3.75,0.375,3.75,0
"34","93B73",39.8125,-76.34375,0.907411174,142.6667805,39.79166667,-76.3125,0.67019753,124.8184742,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,34,34,4719,3,7.92,4.828,0,23,0,14.5,12.3825,19.5,0
"35","93A61",39.97916667,-76.46875,0.099342038,89.28156185,39.95833333,-76.4375,0.440734713,122.3140694,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,35,35,4382,29,135.84,33.797,655.5907,65,0,9.75,34.91,18.75,0
"36","93C62",39.72916667,-76.40625,0.662123216,NA,39.70833333,-76.4375,0.477701603,NA,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,36,36,4876,0,0,0,0,0,0,0.5,2.5,0.5,0
"37","93C71",39.72916667,-76.34375,0.214302661,NA,39.70833333,-76.3125,0.431579588,NA,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,37,37,4874,0,0,0,0,0,0,0.5,0.5,0.5,0
"38","93A56",39.89583333,-76.53125,0.660582445,222.7245274,39.875,-76.5625,0.506574951,229.3614788,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,38,38,4558,0,0,0,0,0,0,4.25,1.65,4.25,0
"39","92B41",39.85416667,-76.71875,0.795054926,209.6309032,39.875,-76.6875,0.572188022,205.8331504,39.83333333,-76.75,0.503855742,199.6924881,39.66666667,-76.5,0.517227388,177.669535,39,39,4650,0,0,0,0,0,0,10.25,16.4075,14,0
