BBA_ID,point,Latitude,Longitude,elev_metres,Forest,v1,v2,v3,v4,v5
26D45,3,42.0323,-80.24258,252.3126221,0.352941176,0,0,0,0,0
26D45,6,42.01974,-80.21971,279.5766296,0.247058824,0,0,0,0,0
26D45,8,42.03618,-80.1918,260.8530884,0.277108434,0,0,0,0,0
26D45,9,42.02103,-80.24307,266.4578857,0.095238095,0,0,0,0,0
26D45,10,42.01672,-80.23128,281.0256653,0.023529412,0,0,0,0,0
26D45,13,42.02862,-80.23264,250.3166504,0.094117647,0,0,0,0,0
27C46,1,42.1446,-80.1368,174.8320923,0.372093023,0,0,0,0,0
27C46,2,42.13658,-80.14147,174.5159912,0.321428571,0,0,0,0,0
27C46,3,42.13044,-80.1442,174.5555115,0.614457831,0,0,0,0,0
27C46,4,42.15119,-80.13274,176.9882202,0.30952381,0,0,0,0,0
27C53,1,42.17122,-80.09588,176.6139984,0.164705882,0,0,0,0,0
27C53,2,42.17171,-80.08547,176.6139984,0.470588235,0,0,0,0,0
27C55,1,42.13284,-80.07602,195.6162872,0,0,0,0,0,0
27C55,3,42.1477,-80.07825,176.5886841,0,0,0,0,0,0
27C55,4,42.16037,-80.07883,176.3155212,0.035294118,0,0,0,0,0
27C55,5,42.13007,-80.10078,178.460022,0,0,0,0,0,0
27C55,6,42.13801,-80.09101,174.5576477,0,0,0,0,0,0
27C55,7,42.15285,-80.10754,175.6658173,0.261904762,0,0,0,0,0
27C55,8,42.15944,-80.09315,176.6139984,0.058823529,0,0,0,0,0
27C55,9,42.15821,-80.11656,176.6139984,0.564705882,0,0,0,0,0
27C56,1,42.14798,-80.03596,198.910675,0,0,0,0,0,0
27C56,2,42.14156,-80.03393,205.2747345,0,0,0,0,0,0
27C56,3,42.15254,-80.04248,188.167572,0,0,0,0,0,0
27C56,4,42.13275,-80.05716,203.7202606,0,0,0,0,0,0
27C56,6,42.13856,-80.01486,222.5670471,0,0,0,0,0,0
27C56,8,42.13575,-80.04552,206.7887573,0,0,0,0,0,0
27C56,9,42.15952,-80.02699,181.4294281,0.058823529,0,0,0,0,0
27C56,10,42.13384,-80.02398,223.0743561,0,0,0,0,0,0
27C64,2,42.17878,-79.91914,229.4224854,0.178571429,0,0,0,0,0
27C64,3,42.1739,-79.91244,246.6083832,0,0,0,0,0,0
27C64,4,42.18948,-79.91695,214.6657562,0.024096386,0,0,0,0,0
27C64,5,42.18005,-79.93,219.8830719,0.023529412,0,0,0,0,0
27C64,6,42.18524,-79.90338,235.0426025,0.047619048,0,0,0,0,0
27C64,7,42.17373,-79.89886,264.1975098,0,0,0,0,0,0
27C64,8,42.19135,-79.93089,205.690567,0.301204819,0,0,0,0,0
27C64,9,42.20089,-79.89108,228.9992065,0,0,0,0,0,0
27C65,1,42.15798,-79.9836,212.4348602,0.38372093,0,0,0,0,0
27C65,2,42.15165,-79.9437,264.5551453,0,0,0,0,0,0
27C65,3,42.14113,-79.97404,258.8345032,0.428571429,0,0,0,0,0
27C65,4,42.16292,-79.98315,207.0086823,0.120481928,0,0,0,0,0
27C65,5,42.15884,-79.99344,206.3203125,0,0,0,0,0,0
27C65,6,42.15701,-79.94547,251.5132599,0.445783133,0,0,0,0,0
27C65,7,42.16195,-79.96663,220.7283783,0.022988506,0,0,0,0,0
27C65,8,42.13374,-79.94615,315.8388062,0.369047619,0,0,0,0,0
27C66,1,42.1438,-79.93039,315.3857727,0.265060241,0,0,0,0,0
27C66,2,42.13793,-79.90053,401.4933167,0.261904762,0,0,0,0,0
27C66,3,42.13875,-79.88985,420.787262,0.108433735,0,0,0,0,0
27C66,6,42.13241,-79.9161,352.9859009,0.035714286,0,0,0,0,0
27C66,7,42.16089,-79.91458,274.9744873,0,0,0,0,0,0
27C66,9,42.16328,-79.92376,259.0654602,0,0,0,0,0,0
27C66,13,42.14024,-79.87999,435.2587891,0.402439024,0,0,0,0,0
27C66,15,42.13367,-79.88434,441.7879334,0.493975904,0,0,0,0,0
27C71,2,42.2328,-79.84776,218.5760651,0,0,0,0,0,0
27C71,3,42.24094,-79.83325,178.0498199,0,0,0,0,0,0
27C71,4,42.2195,-79.85436,237.7232666,0.045454545,0,0,0,0,0
27C71,5,42.243,-79.82043,192.3771515,0.134146341,0,0,0,0,0
27C71,9,42.22941,-79.86446,219.6017456,0,0,0,0,0,0
27C71,10,42.22211,-79.8259,242.9842834,0,0,0,0,0,0
