"","BBA_ID","Centroid_ID","Point_ID","Lon1","Lat1","Forest1","total.dets","Longitude","Latitude","total.eLists","total.eHours","total.eNumObs","total.eCount","nearest_block_BBA_ID","new_BBA"
"63","27C65",4904,1,-79.96875,42.14583333,0.5662211,0,-79.9836,42.15798,0,0,0,0,4904,"BBA_ID.71"
"64","27C65",4904,2,-79.96875,42.14583333,0.5662211,0,-79.9437,42.15165,0,0,0,0,4904,"BBA_ID.72"
"65","27C65",4904,3,-79.96875,42.14583333,0.5662211,0,-79.97404,42.14113,0,0,0,0,4904,"BBA_ID.73"
"66","27C65",4904,4,-79.96875,42.14583333,0.5662211,0,-79.98315,42.16292,0,0,0,0,4904,"BBA_ID.74"
"67","27C65",4904,5,-79.96875,42.14583333,0.5662211,0,-79.99344,42.15884,0,0,0,0,4904,"BBA_ID.75"
"68","27C65",4904,6,-79.96875,42.14583333,0.5662211,0,-79.94547,42.15701,0,0,0,0,4904,"BBA_ID.76"
"69","27C65",4904,7,-79.96875,42.14583333,0.5662211,0,-79.96663,42.16195,0,0,0,0,4904,"BBA_ID.77"
"70","27C65",4904,8,-79.96875,42.14583333,0.5662211,0,-79.94615,42.13374,0,0,0,0,4904,"BBA_ID.78"
"71","27C66",4905,1,-79.90625,42.14583333,0.558561404,0,-79.93039,42.1438,0,0,0,0,4905,"BBA_ID.79"
"72","27C66",4905,2,-79.90625,42.14583333,0.558561404,0,-79.90053,42.13793,0,0,0,0,4905,"BBA_ID.80"
"73","27C66",4905,3,-79.90625,42.14583333,0.558561404,0,-79.88985,42.13875,0,0,0,0,4905,"BBA_ID.81"
"74","27C66",4905,4,-79.90625,42.14583333,0.558561404,0,-79.9161,42.13241,0,0,0,0,4905,"BBA_ID.82"
"75","27C66",4905,5,-79.90625,42.14583333,0.558561404,0,-79.91458,42.16089,0,0,0,0,4905,"BBA_ID.83"
"76","27C66",4905,6,-79.90625,42.14583333,0.558561404,0,-79.92376,42.16328,0,0,0,0,4905,"BBA_ID.84"
"77","27C66",4905,7,-79.90625,42.14583333,0.558561404,0,-79.87999,42.14024,0,0,0,0,4905,"BBA_ID.85"
"78","27C66",4905,8,-79.90625,42.14583333,0.558561404,0,-79.88434,42.13367,0,0,0,0,4905,"BBA_ID.86"
"79","27C71",4913,1,-79.84375,42.22916667,0.549280449,0,-79.84776,42.2328,0,0,0,0,4913,"BBA_ID.87"
"80","27C71",4913,2,-79.84375,42.22916667,0.549280449,0,-79.83325,42.24094,0,0,0,0,4913,"BBA_ID.88"
"81","27C71",4913,3,-79.84375,42.22916667,0.549280449,0,-79.85436,42.2195,0,0,0,0,4913,"BBA_ID.89"
"82","27C71",4913,4,-79.84375,42.22916667,0.549280449,0,-79.82043,42.243,0,0,0,0,4913,"BBA_ID.90"
"83","27C71",4913,5,-79.84375,42.22916667,0.549280449,0,-79.86446,42.22941,0,0,0,0,4913,"BBA_ID.91"
"84","27C71",4913,6,-79.84375,42.22916667,0.549280449,0,-79.8259,42.22211,0,0,0,0,4913,"BBA_ID.92"
"85","27C71",4913,7,-79.84375,42.22916667,0.549280449,0,-79.81857,42.23181,0,0,0,0,4913,"BBA_ID.93"
"86","27C72",4910,1,-79.78125,42.22916667,0.626370746,0,-79.77729,42.24051,0,0,0,0,4910,"BBA_ID.94"
"87","27C72",4910,2,-79.78125,42.22916667,0.626370746,0,-79.76144,42.21917,0,0,0,0,4910,"BBA_ID.95"
"88","27C72",4910,3,-79.78125,42.22916667,0.626370746,0,-79.77642,42.23342,0,0,0,0,4910,"BBA_ID.96"
"89","27C72",4910,4,-79.78125,42.22916667,0.626370746,0,-79.76173,42.24338,0,0,0,0,4910,"BBA_ID.97"
"90","27C72",4910,5,-79.78125,42.22916667,0.626370746,0,-79.76788,42.2391,0,0,0,0,4910,"BBA_ID.98"
"91","27C72",4910,6,-79.78125,42.22916667,0.626370746,0,-79.79584,42.21977,0,0,0,0,4910,"BBA_ID.99"
"92","27C72",4910,7,-79.78125,42.22916667,0.626370746,0,-79.78726,42.2284,0,0,0,0,4910,"BBA_ID.100"
"93","27C72",4910,8,-79.78125,42.22916667,0.626370746,0,-79.80144,42.22621,0,0,0,0,4910,"BBA_ID.101"
"94","27C73",4911,1,-79.84375,42.1875,0.288043478,0,-79.86358,42.2052,0,0,0,0,4911,"BBA_ID.102"
"95","27C73",4911,2,-79.84375,42.1875,0.288043478,0,-79.82234,42.17605,0,0,0,0,4911,"BBA_ID.103"
"96","27C73",4911,3,-79.84375,42.1875,0.288043478,0,-79.83584,42.1994,0,0,0,0,4911,"BBA_ID.104"
"97","27C73",4911,4,-79.84375,42.1875,0.288043478,0,-79.83324,42.18948,0,0,0,0,4911,"BBA_ID.105"
"98","27C73",4911,5,-79.84375,42.1875,0.288043478,0,-79.86534,42.17228,0,0,0,0,4911,"BBA_ID.106"
"99","27C73",4911,6,-79.84375,42.1875,0.288043478,0,-79.82716,42.1981,0,0,0,0,4911,"BBA_ID.107"
"100","27C73",4911,7,-79.84375,42.1875,0.288043478,0,-79.85897,42.18247,0,0,0,0,4911,"BBA_ID.108"
"101","27C73",4911,8,-79.84375,42.1875,0.288043478,0,-79.85519,42.19876,0,0,0,0,4911,"BBA_ID.109"
"102","27C74",4912,1,-79.78125,42.1875,0.2474022,0,-79.80499,42.17983,0,0,0,0,4912,"BBA_ID.110"
"103","27C74",4912,2,-79.78125,42.1875,0.2474022,0,-79.7647,42.18866,0,0,0,0,4912,"BBA_ID.111"
"104","27C74",4912,3,-79.78125,42.1875,0.2474022,0,-79.80433,42.17013,0,0,0,0,4912,"BBA_ID.112"
"105","27C74",4912,4,-79.78125,42.1875,0.2474022,0,-79.80537,42.1996,0,0,0,0,4912,"BBA_ID.113"
"106","27C74",4912,5,-79.78125,42.1875,0.2474022,0,-79.76188,42.1796,0,0,0,0,4912,"BBA_ID.114"
"107","27C74",4912,6,-79.78125,42.1875,0.2474022,0,-79.78391,42.18434,0,0,0,0,4912,"BBA_ID.115"
"108","27C74",4912,7,-79.78125,42.1875,0.2474022,0,-79.78526,42.17185,0,0,0,0,4912,"BBA_ID.116"
"109","27C74",4912,8,-79.78125,42.1875,0.2474022,0,-79.76357,42.20118,0,0,0,0,4912,"BBA_ID.117"
"110","27C75",4900,1,-79.84375,42.14583333,0.212711358,0,-79.86327,42.13045,0,0,0,0,4900,"BBA_ID.118"
"111","27C75",4900,2,-79.84375,42.14583333,0.212711358,0,-79.84219,42.15318,0,0,0,0,4900,"BBA_ID.119"
"112","27C75",4900,3,-79.84375,42.14583333,0.212711358,0,-79.82251,42.13359,0,0,0,0,4900,"BBA_ID.120"
"113","27C75",4900,4,-79.84375,42.14583333,0.212711358,0,-79.8263,42.15508,0,0,0,0,4900,"BBA_ID.121"
"114","27C75",4900,5,-79.84375,42.14583333,0.212711358,0,-79.86318,42.16111,0,0,0,0,4900,"BBA_ID.122"
"115","27C75",4900,6,-79.84375,42.14583333,0.212711358,0,-79.84219,42.12937,0,0,0,0,4900,"BBA_ID.123"
"116","27C75",4900,7,-79.84375,42.14583333,0.212711358,0,-79.8633,42.14233,0,0,0,0,4900,"BBA_ID.124"
"117","27C76",4901,1,-79.78125,42.14583333,0.254499438,0,-79.76562,42.14706,0,0,0,0,4901,"BBA_ID.125"
"118","27C76",4901,2,-79.78125,42.14583333,0.254499438,0,-79.79637,42.15697,0,0,0,0,4901,"BBA_ID.126"
"119","27C76",4901,3,-79.78125,42.14583333,0.254499438,0,-79.76597,42.16065,0,0,0,0,4901,"BBA_ID.127"
"120","27C76",4901,4,-79.78125,42.14583333,0.254499438,0,-79.79664,42.13686,0,0,0,0,4901,"BBA_ID.128"
"121","27C76",4901,5,-79.78125,42.14583333,0.254499438,0,-79.77001,42.13381,0,0,0,0,4901,"BBA_ID.129"
"122","27C76",4901,6,-79.78125,42.14583333,0.254499438,0,-79.76283,42.15222,0,0,0,0,4901,"BBA_ID.130"
"123","27C76",4901,7,-79.78125,42.14583333,0.254499438,0,-79.78814,42.14522,0,0,0,0,4901,"BBA_ID.131"
"124","27C76",4901,8,-79.78125,42.14583333,0.254499438,0,-79.79639,42.16252,0,0,0,0,4901,"BBA_ID.132"
"125","27D42",4934,1,-80.15625,42.10416667,0.444975404,0,-80.16296,42.09429,16,72,32,0,4934,"BBA_ID.133"
"126","27D42",4934,2,-80.15625,42.10416667,0.444975404,0,-80.13702,42.09875,16,72,32,0,4934,"BBA_ID.134"
"127","27D42",4934,3,-80.15625,42.10416667,0.444975404,0,-80.15784,42.10261,16,72,32,0,4934,"BBA_ID.135"
"128","27D42",4934,4,-80.15625,42.10416667,0.444975404,0,-80.13914,42.11354,16,72,32,0,4934,"BBA_ID.136"
"129","27D42",4934,5,-80.15625,42.10416667,0.444975404,0,-80.15341,42.11522,16,72,32,0,4934,"BBA_ID.137"
"130","27D42",4934,6,-80.15625,42.10416667,0.444975404,0,-80.17818,42.09374,16,72,32,0,4934,"BBA_ID.138"
"131","27D42",4934,7,-80.15625,42.10416667,0.444975404,0,-80.16139,42.10847,16,72,32,0,4934,"BBA_ID.139"
"132","27D42",4934,8,-80.15625,42.10416667,0.444975404,0,-80.14654,42.09631,16,72,32,0,4934,"BBA_ID.140"
"133","27D44",4931,1,-80.15625,42.0625,0.544908075,0,-80.16163,42.0617,16,16,16,0,4931,"BBA_ID.141"
"134","27D44",4931,2,-80.15625,42.0625,0.544908075,0,-80.17327,42.07137,16,16,16,0,4931,"BBA_ID.142"
"135","27D44",4931,3,-80.15625,42.0625,0.544908075,0,-80.16387,42.04869,16,16,16,0,4931,"BBA_ID.143"
"136","27D44",4931,4,-80.15625,42.0625,0.544908075,0,-80.1424,42.04867,16,16,16,0,4931,"BBA_ID.144"
"137","27D44",4931,5,-80.15625,42.0625,0.544908075,0,-80.13748,42.07053,16,16,16,0,4931,"BBA_ID.145"
"138","27D44",4931,6,-80.15625,42.0625,0.544908075,0,-80.17139,42.0578,16,16,16,0,4931,"BBA_ID.146"
"139","27D44",4931,7,-80.15625,42.0625,0.544908075,0,-80.13112,42.05562,16,16,16,0,4931,"BBA_ID.147"
"140","27D44",4931,8,-80.15625,42.0625,0.544908075,0,-80.13355,42.04627,16,16,16,0,4931,"BBA_ID.148"
"141","27D46",4932,1,-80.15625,42.02083333,0.393700787,0,-80.14854,42.03075,8,0.4,0,0,4932,"BBA_ID.149"
"142","27D46",4932,2,-80.15625,42.02083333,0.393700787,0,-80.16016,42.03723,8,0.4,0,0,4932,"BBA_ID.150"
"143","27D46",4932,3,-80.15625,42.02083333,0.393700787,0,-80.15681,42.01574,8,0.4,0,0,4932,"BBA_ID.151"
"144","27D46",4932,4,-80.15625,42.02083333,0.393700787,0,-80.18283,42.02343,8,0.4,0,0,4932,"BBA_ID.152"
